,Country,Population,GDP,GrossOutput,GDPperCap,GDPperGrossOut
0,AUS,19413.0,356928.1393,758249.7409999999,18.386037155514344,0.4707263583489968
1,AUT,8042.29,176084.0951,339350.1839,21.894770656119093,0.5188861048382063
2,BEL,10286.57,213688.9957,496082.8707,20.77359077904491,0.430752618808372
3,BRA,177750.67,488838.1133,993535.1075,2.7501337311414917,0.49201896300378095
4,BGR,8009.14,12497.212440000001,29159.22352,1.5603688336076034,0.428585227292774
5,EST,11944.59,5538.744498,13060.799340000001,0.46370319098437035,0.42407392945981814
6,CAN,31081.9,693677.2232,1355973.6609999998,22.31772263600359,0.5115713108235663
7,CHN,1271850.0,1324831.84,3521177.912,1.0416573023548374,0.3762467768200632
8,HRV,4440.0,19350.78098,39465.15094,4.358284004504505,0.4903257815843539
9,CYP,960.28,9539.776061,18084.51654,9.934369205856626,0.5275107045244793
10,CZE,10216.6,61663.864129999994,151346.0164,6.035654144235851,0.4074363210659306
11,DNK,5358.78,142032.8626,278889.9158,26.504701181985453,0.5092793053939456
12,FIN,5188.01,113840.6116,236684.69,21.943020849998362,0.48098003973134046
13,FRA,61357.43,1245281.646,2451820.5319999997,20.29553138063312,0.5079008148219554
14,DEU,82349.93,1764269.3080000002,3460336.885,21.424053523785634,0.509854781957162
15,GRC,10862.13,121327.4845,222839.177,11.1697691428845,0.5444620920494604
16,HUN,10187.58,46406.31903,110350.7985,4.555185729093661,0.4205345104956354
17,IND,1071477.85,473243.2432,930507.6289,0.44167337962235986,0.508586096988205
18,IDN,214506.5,172064.6195,343818.891,0.802141750949272,0.5004513248226375
19,IRL,3866.24,97169.55496000001,222582.035,25.132830595100152,0.43655614416500416
20,ITA,56974.1,1049855.0990000002,2258374.067,18.42688342597777,0.46487210172166765
21,JPN,127149.0,4046327.518,7607273.102000001,31.823510353994134,0.5319024917005011
22,KOR,47370.16,477019.6261,1100066.475,10.070044646249874,0.43362800061696266
23,LVA,2337.17,7537.10092,16410.0788,3.224883478737105,0.4592970583419746
24,LTU,3470.82,10906.82433,20588.34989,3.142434447767386,0.5297570902123424
25,LUX,441.52,18993.378080000002,50980.89636,43.018160173944565,0.37255873152717556
26,MLT,393.03,3626.3186020000003,8894.775162,9.226569478156884,0.4076908674985123
27,MEX,103067.07,656304.7136,1144825.369,6.367743970988988,0.5732793239664835
28,NLD,16046.18,380275.3424,796432.0032,23.698808214790063,0.47747370883149365
29,NOR,4513.75,153747.9688,283967.4516,34.06213653835503,0.5414281388015246
30,POL,38248.08,169973.553,374552.8686,4.443976089780193,0.45380390126319275
31,PRT,10362.72,106706.1567,232029.9724,10.29711858469591,0.4598809179533394
32,ROU,22131.97,36679.89744,78810.89176,1.6573263672415965,0.46541660195522194
33,RUS,145976.08,273720.9676,546091.1149,1.8751083574788416,0.5012368085317112
34,SVK,5378.87,19364.90179,49500.22971,3.6001802962332237,0.3912083217280084
35,SVN,1992.06,18269.005719999997,39325.636439999995,9.17091137817134,0.46455715339466735
36,ESP,40850.41,570339.5744,1180336.317,13.96166095762564,0.4832009031541135
37,SWE,8895.96,212116.3601,436496.1997,23.84412251179187,0.48595236395136016
38,CHE,7229.85,267011.605,539312.7307,36.93183191905779,0.4950960542938283
39,TUR,64191.47,200936.879,433009.8172,3.130273835448853,0.4640469361626289
40,GBR,59119.67,1372015.487,2733398.31,23.207428035373,0.5019449532768607
41,USA,284968.96,10621824.0,18863118.0,37.27361744942326,0.563100119503043
