Country;In;Out
AUS;512423.8483;1100133.627
AUT;233417.1246;454301.6845
BEL;287112.9262;635131.3573
BGR;18471.01628;43155.83644
BRA;493897.5977;1020845.037
CAN;840602.2617;1627775.444
CHE;338784.16;685264.7802
CHN;1640969.793;4455647.713
CYP;13172.93712;24850.31472
CZE;91165.33141;227352.7929
DEU;2268128.397;4422279.344
DNK;187948.1256;363470.1575
ESP;823157.272;1750924.526
EST;8790.816666;20138.22323
FIN;149593.2816;311602.6144
FRA;1669662.512;3221789.95
GBR;1741769.356;3407164.602
GRC;181572.8183;324724.1421
HRV;29067.71984;60003.32496
HUN;73064.74542;167628.8588
IDN;250151.9431;503277.1234
IND;576247.7116;1168335.431
IRL;146268.0061;334341.3181
ITA;1423557.396;3023639.343
JPN;4199718.158;7844807.362
KOR;608985.7535;1402883.11
LTU;16896.73989;31388.20373
LUX;26322.2694;68137.86924
LVA;10615.52003;23057.02323
MEX;677395.0674;1163601.037
MLT;4839.96494;11758.94974
NLD;512320.48;1043978.824
NOR;201814.089;371147.841
POL;191697.6162;424463.279
PRT;144589.4089;303967.118
ROU;53311.95343;115064.1614
RUS;378794.5477;758684.0862
SVK;30522.54014;78315.06142
SVN;26051.52719;55448.70031
SWE;292578.1707;582971.5281
TUR;271931.7225;583875.8777
TWN;311335.464;658700.767
USA;11510670;20135087
