Country,Population
AUS,23145.9
AUT,8479.82
BEL,11182.82
BRA,202408.63
BGR,7265.11
EST,17072.72
CAN,35152.37
CHN,1357380.0
HRV,4255.69
CYP,1143.9
CZE,10514.27
DNK,5614.93
FIN,5438.97
FRA,65998.66
DEU,80645.6
GRC,10965.21
HUN,9893.08
IND,1278562.21
IDN,252032.26
IRL,4623.82
ITA,60233.95
JPN,127445.0
KOR,50428.89
LVA,2012.65
LTU,2957.69
LUX,543.36
MLT,425.97
MEX,122535.97
NLD,16804.43
NOR,5079.62
POL,38040.2
PRT,10457.3
ROU,19983.69
RUS,143506.91
SVK,5413.39
SVN,2059.95
ESP,46620.04
SWE,9600.38
CHE,8089.35
TUR,75787.33
GBR,64128.23
USA,316234.51
