Population,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AUS,19153.0,19413.0,19651.4,19895.4,20127.4,20394.8,20697.9,20827.6,21249.2,21691.7,22031.75,22340.02,22742.47,23145.9,23504.14
AUT,8011.57,8042.29,8081.96,8121.42,8171.97,8227.83,8268.64,8295.49,8321.5,8343.32,8363.4,8391.64,8429.99,8479.82,8546.36
BEL,10251.25,10286.57,10332.78,10376.13,10421.14,10478.62,10547.96,10625.7,10709.97,10796.49,10895.59,11047.74,11128.25,11182.82,11209.06
BRA,175287.59,177750.67,180151.02,182482.15,184738.46,186917.36,189012.41,191026.64,192979.03,194896.0,196796.27,198686.69,200560.98,202408.63,204213.13
BGR,8170.17,8009.14,7837.16,7775.33,7716.86,7658.97,7601.02,7545.34,7492.56,7444.44,7395.6,7348.33,7305.89,7265.11,7223.94
EST,11607.94,11944.59,12293.1,12654.62,13030.57,13421.93,13829.18,14252.02,14689.73,15141.1,15605.22,16081.9,16571.22,17072.72,17585.98
CAN,30769.7,31081.9,31362.0,31676.0,31995.0,32312.0,32570.51,32887.93,33245.77,33628.57,34005.27,34342.78,34750.54,35152.37,35535.35
CHN,1262645.0,1271850.0,1280400.0,1288400.0,1296075.0,1303720.0,1311020.0,1317885.0,1324655.0,1331260.0,1337705.0,1344130.0,1350695.0,1357380.0,1364270.0
HRV,4426.0,4440.0,4440.0,4440.0,4439.0,4442.0,4440.0,4436.0,4434.51,4429.08,4417.78,4280.62,4267.56,4255.69,4238.39
CYP,943.29,960.28,976.97,993.56,1010.41,1027.66,1045.51,1063.71,1081.56,1098.08,1112.61,1124.84,1135.06,1143.9,1152.31
CZE,10255.06,10216.6,10196.92,10194.0,10197.1,10211.22,10238.91,10298.83,10384.6,10443.94,10474.41,10496.09,10510.78,10514.27,10525.35
DNK,5339.62,5358.78,5375.93,5390.57,5404.52,5419.43,5437.27,5461.44,5493.62,5523.1,5547.68,5570.57,5591.57,5614.93,5643.48
FIN,5176.21,5188.01,5200.6,5213.01,5228.17,5246.1,5266.27,5288.72,5313.4,5338.87,5363.35,5388.27,5413.97,5438.97,5461.51
FRA,60912.5,61357.43,61805.27,62244.89,62704.89,63179.35,63621.38,64016.23,64374.99,64707.04,65027.51,65342.78,65659.79,65998.66,66316.09
DEU,82211.51,82349.93,82488.49,82534.18,82516.26,82469.42,82376.45,82266.37,82110.1,81902.31,81776.93,80274.98,80425.82,80645.6,80982.5
GRC,10805.81,10862.13,10902.02,10928.07,10955.14,10987.31,11020.36,11048.47,11077.84,11107.02,11121.34,11104.9,11045.01,10965.21,10892.41
HUN,10210.97,10187.58,10158.61,10129.55,10107.15,10087.07,10071.37,10055.78,10038.19,10022.65,10000.02,9971.73,9920.36,9893.08,9866.47
